time,temperature_2m,cloudcover,windspeed_10m,precipitation_probability,latitude,longitude,location,temperature_F,windspeed_MPH
2025-01-12T00:00,5.8,100,3.1,1,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.44,1.93
2025-01-12T01:00,6.0,100,3.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.8,1.93
2025-01-12T02:00,6.0,100,3.9,2,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.8,2.42
2025-01-12T03:00,5.8,100,2.6,2,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.44,1.62
2025-01-12T04:00,5.5,100,2.5,2,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",41.9,1.55
2025-01-12T05:00,5.9,100,2.6,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.62,1.62
2025-01-12T06:00,5.9,100,3.6,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.62,2.24
2025-01-12T07:00,5.2,100,1.8,1,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",41.36,1.12
2025-01-12T08:00,5.2,100,3.7,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",41.36,2.3
2025-01-12T09:00,5.5,100,4.8,2,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",41.9,2.98
2025-01-12T10:00,6.0,100,3.5,2,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",42.8,2.17
2025-01-12T11:00,6.7,100,5.1,3,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",44.06,3.17
2025-01-12T12:00,7.0,100,2.9,7,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",44.6,1.8
2025-01-12T13:00,7.8,100,3.3,6,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",46.04,2.05
2025-01-12T14:00,7.7,100,3.8,8,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",45.86,2.36
2025-01-12T15:00,7.5,100,3.4,9,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",45.5,2.11
2025-01-12T16:00,7.1,100,8.3,2,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",44.78,5.16
2025-01-12T17:00,6.5,83,5.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",43.7,3.17
2025-01-12T18:00,5.0,33,0.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",41.0,0.5
2025-01-12T19:00,4.3,0,2.9,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",39.74,1.8
2025-01-12T20:00,3.5,0,5.0,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",38.3,3.11
2025-01-12T21:00,2.7,0,5.6,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",36.86,3.48
2025-01-12T22:00,2.1,6,4.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",35.78,2.98
2025-01-12T23:00,1.7,5,3.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",35.06,2.36
2025-01-13T00:00,1.4,2,2.2,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",34.52,1.37
2025-01-13T01:00,1.0,9,1.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.8,0.68
2025-01-13T02:00,0.8,12,2.4,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.44,1.49
2025-01-13T03:00,0.7,13,4.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.26,2.55
2025-01-13T04:00,0.8,9,5.0,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.44,3.11
2025-01-13T05:00,0.8,6,4.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.44,2.55
2025-01-13T06:00,0.8,8,3.3,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.44,2.05
2025-01-13T07:00,0.9,24,3.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.62,1.93
2025-01-13T08:00,1.0,100,1.9,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",33.8,1.18
2025-01-13T09:00,1.9,100,1.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",35.42,1.12
2025-01-13T10:00,4.1,15,0.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",39.38,0.5
2025-01-13T11:00,6.9,2,2.3,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",44.42,1.43
2025-01-13T12:00,8.3,3,6.2,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",46.94,3.85
2025-01-13T13:00,9.3,0,9.5,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",48.74,5.9
2025-01-13T14:00,9.8,0,8.7,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",49.64,5.41
2025-01-13T15:00,9.9,0,7.4,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",49.82,4.6
2025-01-13T16:00,9.1,26,3.3,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",48.38,2.05
2025-01-13T17:00,7.4,95,2.2,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",45.32,1.37
2025-01-13T18:00,6.4,95,2.6,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",43.52,1.62
2025-01-13T19:00,5.0,100,3.6,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",41.0,2.24
2025-01-13T20:00,4.1,100,6.4,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",39.38,3.98
2025-01-13T21:00,3.6,100,3.2,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",38.48,1.99
2025-01-13T22:00,3.3,100,2.7,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",37.94,1.68
2025-01-13T23:00,3.1,100,1.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",37.58,1.12
2025-01-14T00:00,2.8,100,2.9,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",37.04,1.8
2025-01-14T01:00,2.6,100,1.8,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",36.68,1.12
2025-01-14T02:00,2.5,100,3.3,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",36.5,2.05
2025-01-14T03:00,2.4,100,1.5,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",36.32,0.93
2025-01-14T04:00,2.4,57,1.1,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",36.32,0.68
2025-01-14T05:00,2.8,100,3.2,0,45.5344128,-122.8832768,"(45.5344128, -122.8832768)",37.04,1.99
